date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK,0013.HK,0014.HK,0016.HK,0017.HK,0018.HK,0019.HK,0023.HK,0027.HK,0041.HK,0045.HK,0066.HK,0069.HK,0071.HK,0083.HK,0097.HK,0098.HK,0101.HK,0135.HK,0142.HK,0144.HK,0151.HK,0175.HK,0179.HK,0191.HK,0223.HK,0241.HK,0242.HK,0267.HK,0270.HK,0288.HK,0291.HK,0293.HK,0315.HK,0322.HK,0330.HK,0363.HK,0386.HK,0388.HK,0511.HK,0551.HK,0583.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0836.HK,0857.HK,0868.HK,0883.HK,0906.HK,0939.HK,0941.HK,0960.HK,0968.HK,0992.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1186.HK,1199.HK,1211.HK,1299.HK,1398.HK,1810.HK,1876.HK,1898.HK,1928.HK,1997.HK,2007.HK,2018.HK,2020.HK,2038.HK,2269.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2600.HK,2628.HK,3328.HK,3690.HK,3968.HK,3988.HK,6098.HK,6862.HK,9988.HK
2006-01-03,29.291655,23.457436,3.469532,2.385613,69.69709,14.664939,1.247331,10.974267,49.047195,11.465466,,11.263759,45.623756,20.035313,0.454654,38.831886,12.779045,3.84123,8.806808,6.596107,9.128463,10.348112,5.972984,4.644205,-0.779107,,7.231527,0.835993,-1.782032,9.176718,,0.273763,22.555063,2.257585,1.962684,1.25,4.679393,12.041932,1.663395,,5.263539,10.10382,1.97351,3.222708,41.187031,8.468688,1.376333,21.750933,20.319494,9.981996,0.160135,14.752234,2.268846,1.681551,4.789158,,2.439791,3.632685,0.396867,2.634493,,1.368816,20.702435,,,2.145007,13.207755,5.225468,3.236792,0.471747,2.222182,,0.176428,14.457242,7.473532,2.480033,,,,,,,,,3.582438,,11.52957,,1.968991,5.911584,3.036571,4.246449,,7.395796,5.541432,5.328912,1.557492,,,,,,
2006-01-04,30.227665,23.324903,3.58414,2.47332,70.646477,14.292435,1.253794,11.108923,49.482937,11.888371,,11.734309,46.922977,20.219967,0.46406,39.332939,12.833311,3.976804,9.32959,6.714599,9.188521,10.306884,6.000381,4.790864,-0.818626,,7.468628,0.865673,-1.840459,9.360249,,0.282059,22.705429,2.257585,1.998369,1.27,4.74484,12.209178,1.677373,,5.35556,10.361946,2.017366,3.242977,41.930489,8.599785,1.420731,22.743988,20.464981,10.050521,0.160135,15.147745,2.381485,1.749199,4.862836,,2.467997,3.747099,0.403555,2.709765,,1.417703,21.259701,,,2.115007,12.989448,5.195434,3.27443,0.475645,2.291086,,0.177531,14.457242,7.70388,2.500528,,,,,,,,,3.659897,,11.925624,,1.936174,6.18838,3.17153,4.521683,,7.543714,5.541432,5.442293,1.665651,,,,,,
2006-01-05,30.447903,22.90081,3.563303,2.512788,70.758171,14.194406,1.260257,11.445553,49.725033,12.045006,,11.469626,47.194912,20.312298,0.470331,39.861832,12.860437,4.134971,9.349695,6.754097,9.308631,10.100744,6.000381,4.91308,-0.832741,,7.676089,0.85578,-1.840459,9.517566,,0.306947,22.855801,2.235008,1.980526,1.25,4.810285,12.264931,1.663395,,5.484387,10.435697,1.995438,3.283514,42.599586,8.547345,1.42961,22.327545,20.780199,10.278941,0.160135,14.870887,2.510213,1.720207,4.899677,,2.411586,3.747099,0.403555,2.734855,,1.39326,21.454737,,,2.085007,12.607405,5.165403,3.349704,0.463949,2.325539,,0.177531,14.457242,7.857446,3.023181,,,,,,,,,3.989094,,12.40969,,1.870541,6.109296,3.283996,4.403724,,7.568366,5.587228,5.4045,1.654836,,,,,,
2006-01-06,30.576376,23.033339,3.594561,2.504017,71.260803,14.292435,1.253794,11.479219,49.628204,12.091992,,11.410807,47.55748,20.035313,0.49228,39.945339,12.887573,4.157568,9.108411,6.793596,9.158492,10.389338,6.02778,4.91308,-0.844032,,7.676089,0.85578,-1.840459,9.438908,,0.306947,22.855801,2.235008,1.962684,1.25,4.74484,12.292799,1.635439,,5.558003,10.509449,2.006402,3.34432,44.049313,8.573565,1.43849,22.391615,20.61047,10.370312,0.162945,14.791791,2.429757,1.816848,5.047036,,2.425689,3.747099,0.403555,2.709765,,1.417703,21.315422,,,2.085007,12.689272,5.165403,3.424978,0.471747,2.342765,,0.177531,14.457242,8.087794,3.07442,,,,,,,,,4.066552,,12.585714,,1.886949,6.267463,3.351474,4.443045,,7.642324,5.449838,5.593468,1.719731,,,,,,
2006-01-09,30.888384,23.298397,3.58414,2.569797,72.433571,14.351252,1.273183,11.81585,49.918705,12.389593,,11.763721,48.343056,20.219967,0.517365,40.446396,12.914704,4.247949,9.18884,6.714599,9.248574,10.513021,6.109977,4.961966,-0.863792,,8.031737,0.890407,-1.840459,9.674879,,0.331834,23.306898,2.189857,1.980526,1.31,4.875731,12.432178,1.705329,,5.558003,10.583199,1.984474,3.303782,45.647717,8.809533,1.456249,23.320601,20.755951,10.393152,0.165754,14.633586,2.510213,1.84584,5.194395,,2.467997,3.890119,0.425851,,,1.442146,21.426876,,,2.070006,12.825714,5.105342,3.519071,0.467848,2.359992,,0.177531,14.457242,7.883039,3.043677,,,,,,,,,4.027822,,12.497702,,1.919766,6.425633,3.351474,4.285768,,7.765585,5.587228,5.669055,1.77381,,,,,,
2006-01-10,30.906738,23.192375,3.563303,2.561026,73.10376,14.410065,1.26672,11.479219,49.967106,12.279955,,11.557854,48.282627,19.850655,0.507958,40.362892,12.887573,4.338332,8.947558,6.714599,9.248574,10.513021,5.945586,4.986408,-0.858146,,8.09101,0.880514,-1.796638,9.701099,,0.348426,23.607634,2.122129,1.999211,1.32,4.973902,12.348551,1.705329,,5.484387,10.509449,1.97351,3.20244,46.688557,8.678439,1.43849,23.640934,21.095417,10.324626,0.165754,15.068644,2.510213,1.816848,5.120715,,2.524408,3.861515,0.43031,2.835217,,1.417703,21.231831,,,2.040007,12.825714,5.135372,3.462615,0.467848,2.27386,,0.177531,14.457242,7.729474,3.012932,,,,,,,,,4.027822,,12.541708,,1.903357,6.50472,3.239009,4.167811,,7.71628,5.495634,5.70685,1.719731,,,,,,
2006-01-11,30.759911,23.192375,3.552883,2.569797,73.159622,14.331641,1.26672,12.118825,50.112373,12.185974,,11.381397,48.91713,19.850655,0.49228,40.613422,12.968968,4.270545,8.645954,6.675103,9.638939,10.554247,6.02778,4.986408,-0.852501,,8.298471,0.875567,-1.811246,9.805973,,0.377462,23.45727,2.167281,1.999211,1.28,4.973902,12.4043,1.719307,,5.447579,10.398821,1.929654,3.20244,47.134624,8.599785,1.456249,23.128384,22.01683,10.393152,0.169968,14.831342,2.542395,1.79752,5.120715,,2.467997,3.918723,0.457065,2.910489,,1.417703,21.399017,,,2.055007,12.771138,5.405656,3.424978,0.475645,2.204955,,0.175326,14.457242,7.678286,2.930948,,,,,,,,,4.221469,,12.453695,,1.919766,6.445405,3.17153,4.403724,,7.790239,5.358244,5.593468,1.719731,,,,,,
2006-01-12,30.814978,23.324903,3.625816,2.565411,73.271286,14.429673,1.305497,11.984168,50.257626,12.170311,,11.704899,49.249485,20.404627,0.504822,40.947453,12.996099,4.383522,8.766598,6.596107,9.849133,10.719157,5.945586,5.035296,-0.846855,,8.179923,0.880514,-1.811246,9.805973,,0.385758,23.306898,2.144706,1.924474,1.28,5.202962,12.599425,1.691351,,5.631619,10.472573,1.940618,3.324051,46.428349,8.573565,1.474008,22.391615,21.798599,10.393152,0.171373,14.870887,2.445848,1.884496,5.083876,,2.538511,3.947327,0.473787,2.96067,,1.417703,21.594051,,,2.055007,12.825714,5.705968,3.500252,0.495139,2.204955,,0.176428,14.457242,7.857446,2.869459,,,,,,,,,4.221469,,12.365684,,1.919766,6.425633,3.351474,4.561,,7.790239,5.449838,5.593468,1.730547,,,,,,
2006-01-13,30.943439,23.271898,3.615397,2.561026,73.271286,14.508097,1.318423,11.681195,50.306065,12.123324,,11.499029,49.037983,20.958591,0.511093,41.170143,12.968968,4.564286,8.847022,6.556608,9.939218,10.513021,5.945586,5.010852,-0.849678,,8.239199,0.9003,-1.796638,9.75354,,0.398201,23.45727,2.167281,1.943158,1.27,5.333853,12.683049,1.733285,,5.870872,10.546322,1.918691,3.425394,47.208969,8.704659,1.500647,22.551783,21.556124,10.461679,0.164349,14.949986000000001,2.47803,1.932817,5.083876,,2.552614,3.975931,0.479361,2.985759,,1.454368,21.733377,,,2.145007,12.90758,5.826096,3.575527,0.483443,2.27386,,0.177531,14.457242,7.780664,3.012932,,,,,,,,,4.415114,,12.453695,,1.919766,6.445405,3.463941,4.600319,,7.790239,5.404041,5.744643,1.82789,,,,,,
2006-01-16,30.906738,23.324903,3.615397,2.547871,73.271286,14.429673,1.305497,11.58021,50.257626,12.029341,,11.499029,49.037983,20.773939,0.507958,41.197983,12.941842,4.654667,8.927451,6.635604,9.909188,10.801613,5.945586,5.010852,-0.838387,,8.209559,0.925034,-1.782032,9.884633,,0.398201,23.006166,2.257585,1.961842,1.3,5.3993,12.710926,1.733285,,6.202141,10.435697,1.907726,3.749692,46.539864,8.757099,1.491767,22.263479,21.725859,10.301783,0.165754,14.673138,2.558485,2.039122,5.010196,,2.580819,4.147552,0.501657,3.03594,,1.478811,21.789103,,,2.115007,12.853006,5.886158,3.613164,0.479544,2.497802,,0.174223,14.457242,7.678286,3.053924,,,,,,,,,4.415114,,12.717731,,1.936174,6.405862,3.508927,4.600319,,7.765585,5.541432,5.631261,1.849522,,,,,,
